Time,P_Ste_S.y,stePre.y[1]
8831498,900458.56,898120.44
8831700,900447.75,899983
8831700,900447.75,899983
8832361,900507.44,900280.25
8832600,900529.7,900388
8832600,900529.7,900388
8833223,900518,899165.25
8833500,900512.25,898621
8833500,900512.25,898621
8834085,900415.7,895913.1
8834400,900363.3,894455
8834400,900363.3,894455
8834947,900458.7,897329.6
8835300,900522.75,899183
8835300,900522.75,899183
8835809,900482.44,900993.6
8836200,900449.7,902382
8836200,900449.7,902382
8836672,900458.56,902031.94
8837100,900467.56,901714
8837100,900467.56,901714
8837534,900437.2,897138.9
8838000,900403.5,892222
8838000,900403.5,892222
8838396,900424.5,894655.6
8838900,900453.06,897753
8838900,900453.06,897753
8839258,900465.1,896843.56
8839800,900483,895468
8839800,900483,895468
8840120,900481.6,895859.6
8840700,900478.4,896568
8840700,900478.4,896568
8840983,900475.06,897900
8841600,900468,900810
8841600,900468,900810
8841845,900475.44,900280.1
8842500,900496.06,898862
8842500,900496.06,898862
8842707,900478.94,899734.9
8843400,900418.2,902657
8843400,900418.2,902657
8843569,900418.5,903512.56
8844300,900423.6,907208
8844300,900423.6,907208
8844431,900443.25,906416.8
8845200,900568.06,901789
8845200,900568.06,901789
8845294,900610.8,902139.7
8846100,901014.9,905161
8846100,901014.9,905161
8846156,901173.2,905093.3
8847000,904350.8,904069
8847000,904350.8,904069
8847018,904448.6,904368.6
8847880,911211.75,918719.44
8847900,911388.94,919049
8847900,911388.94,919049
8848742,916001.56,932489.94
8848800,916332.4,933409
8848800,916332.4,933409
8849605,917214.3,933439.4
8849700,917309.3,933443
8849700,917309.3,933443
8850467,917391.1,936943.9
8850600,917402.4,937552
8850600,917402.4,937552
8851329,914483.06,921451.6
8851500,913812,917675
8851500,913812,917675
8852191,912767.6,915513.9
8852400,912469.5,914861
8852400,912469.5,914861
8853053,912324.75,923684.06
8853300,912277.6,927014
8853300,912277.6,927014
8853916,911507.25,925465.44
8854200,911149.6,924750
8854200,911149.6,924750
8854778,910624.44,921974
8855100,910338.1,920426
8855100,910338.1,920426
8855640,909345.44,914141
8856000,908693.6,909951
8856000,908693.6,909951
8856502,907604.94,911726
8856900,906769.2,913132
8856900,906769.2,913132
8857364,905422.25,917163
8857800,904225.8,920944
8857800,904225.8,920944
8858227,902704.06,913496.5
8858700,901181.75,905232
8858700,901181.75,905232
8859089,900617.56,904952.5
8859600,899933.5,904585
8859600,899933.5,904585
8859951,899913.56,904166.5
8860500,899898.5,903512
8860500,899898.5,903512
8860813,899890.6,903422.94
8861400,899876,903256
8861400,899876,903256
8861675,899860.3,902017.94
8862300,899824.3,899210
8862300,899824.3,899210
8862538,899848.1,899252
8863200,899918.25,899369
8863200,899918.25,899369
8863400,899897.25,898978.25
8864100,899817.75,897609
8864100,899817.75,897609
8864262,899834.6,897940.94
8865000,899920.8,899453
8865000,899920.8,899453
8865124,899908.6,899439.6
8865900,899820.06,899356
8865900,899820.06,899356
8865986,899823.56,899320.56
8866800,899870.3,898987
8866800,899870.3,898987
8866849,899870.2,898964.56
8867700,899857.25,898571
8867700,899857.25,898571
8867711,899856.94,898560.2
8868573,899815.7,897697
8868600,899814.4,897670
8868600,899814.4,897670
8869435,899865.9,898524.7
8869500,899870,898591
8869500,899870,898591
8870297,899899.4,898534.3
8870400,899903.1,898527
8870400,899903.1,898527
8871160,899907.06,898037.5
8871300,899907.75,897947
8871300,899907.75,897947
8872022,899951.75,893819.94
8872200,899962.75,892801
8872200,899962.75,892801
8872884,899856.06,891673.2
8873100,899822.1,891317
8873100,899822.1,891317
8873746,899899.9,896821.2
8874000,899931.4,898983
8874000,899931.4,898983
8874608,899866.6,894881.7
8874900,899834.94,892916
8874900,899834.94,892916
8875471,899846.94,896058.75
8875800,899854.5,897873
8875800,899854.5,897873
8876333,899866.4,897316.5
8876700,899874.5,896933
8876700,899874.5,896933
8877195,899883.5,896330.2
8877600,899890.9,895837
8877600,899890.9,895837
8878057,899827.1,896010.75
8878500,899765,896179
8878500,899765,896179
8878919,900079,898009.44
8879400,900459.06,900107
8879400,900459.06,900107
8879782,900448.94,899071.56
8880300,900426.06,897665
8880300,900426.06,897665
8880644,900401.56,898094.4
8881200,900361.7,898789
8881200,900361.7,898789
8881506,900384.56,901496.44
8882100,900431.5,906752
8882100,900431.5,906752
8882368,900441.25,904362.3
8883000,900463.2,898733
8883000,900463.2,898733
8883230,900436.3,898103.25
8883900,900355.06,896273
8883900,900355.06,896273
8884093,900374.8,897888.25
8884800,900455.5,903821
8884800,900455.5,903821
8884955,900463.2,902624.75
8885700,900496.44,896866
8885700,900496.44,896866
8885817,900487.94,897069.44
8886600,900425.25,898431
8886600,900425.25,898431
8886679,900424.56,898681.56
8887500,900423.25,901278
8887500,900423.25,901278
8887541,900423.94,900430.1
8888400,900441.8,882846
8888400,900441.8,882846
8888404,900441.8,882898.44
8889266,900366.8,895457.8
8889300,900363.8,895956
8889300,900363.8,895956
8890128,900402.4,901844.94
8890200,900405.9,902357
8890200,900405.9,902357
8890990,900420.3,901435.1
8891100,900422.25,901307
