Time,Qboi_S.y,MeaData.y[1],T_exh_S.y,MeaData.y[3],boi.VLiq,boi.V,mFueFlo_S.y,MeaData.y[2],T_Ste_S.y,MeaData.y[4],boi.furHeaBal.eta_boi,boi.furHeaBal.per_exh
8714700,4213603,4263391,491.7632,492,25.301577,50,0.10208058,0.10402,448.40646,452.4,0.83656865,0.053847823
8714700,4213603,4263391,491.7632,492,25.301577,50,0.10208058,0.10402,448.40646,452.4,0.83656865,0.053847823
8715101,4202784,4251736,491.73175,492,25.302221,50,0.10180218,0.10401554,448.4059,452.4,0.8365665,0.053849977
8715600,4189399,4237259,491.7528,492,25.305346,50,0.10145635,0.10401,448.4049,452.4,0.8365753,0.053841192
8715600,4189399,4237259,491.7528,492,25.305346,50,0.10145635,0.10401,448.4049,452.4,0.8365753,0.053841192
8715964,4198332.5,4246846.5,491.77203,492.0404,25.308247,50,0.10168654,0.10400596,448.4053,452.4,0.8365746,0.053841896
8716500,4211470.5,4260990,491.7481,492.1,25.311102,50,0.10202612,0.104,448.4063,452.4,0.83656484,0.05385168
8716500,4211470.5,4260990,491.7481,492.1,25.311102,50,0.10202612,0.104,448.4063,452.4,0.83656484,0.05385168
8716826,4201343.5,4250151.5,491.7266,492.0638,25.312618,50,0.10176527,0.10400362,448.4058,452.3638,0.836565,0.0538515
8717400,4183543,4231050,491.75134,492,25.317015,50,0.10130554,0.10401,448.40445,452.3,0.83657527,0.05384123
8717400,4183543,4231050,491.75134,492,25.317015,50,0.10130554,0.10401,448.40445,452.3,0.83657527,0.05384123
8717688,4184325.2,4231848,491.76688,492,25.320324,50,0.101325646,0.1040228,448.4043,452.3,0.83657557,0.053840935
8718300,4185933.5,4233543,491.74133,492,25.331049,50,0.101368375,0.10405,448.40433,452.3,0.83656484,0.053851657
8718300,4185933.5,4233543,491.74133,492,25.331049,50,0.101368375,0.10405,448.40433,452.3,0.83656484,0.053851657
8718550,4195079,4243437.5,491.73523,492.0278,25.335907,50,0.101604804,0.10404444,448.40488,452.3278,0.8365577,0.053858828
8719200,4218798.5,4269134,491.67142,492.1,25.342606,50,0.10221884,0.10403,448.40677,452.4,0.8365324,0.05388409
8719200,4218798.5,4269134,491.67142,492.1,25.342606,50,0.10221884,0.10403,448.40677,452.4,0.8365324,0.05388409
8719412,4218712,4269054,491.64847,492.0764,25.343216,50,0.10221686,0.10402528,448.40692,452.3528,0.8365304,0.053886093
8720100,4218572,4268796,491.70114,492,25.343203,50,0.10221046,0.10401,448.4069,452.2,0.8365533,0.053863224
8720100,4218572,4268796,491.70114,492,25.343203,50,0.10221046,0.10401,448.4069,452.2,0.8365533,0.053863224
8720275,4215312.5,4265268,491.7105,492,25.342867,50,0.102125935,0.10401388,448.40674,452.2194,0.8365579,0.053858567
8721000,4201692.5,4250610,491.7212,492,25.343136,50,0.10177475,0.10403,448.4058,452.3,0.8365609,0.053855598
8721000,4201692.5,4250610,491.7212,492,25.343136,50,0.10177475,0.10403,448.4058,452.3,0.8365609,0.053855598
8721137,4200184.5,4248982.5,491.72324,492,25.343548,50,0.10173591,0.10402696,448.40567,452.3304,0.8365609,0.053855564
8721900,4191771,4239902,491.72385,492,25.349283,50,0.1015192,0.10401,448.40497,452.5,0.83656096,0.053855535
8721900,4191771,4239902,491.72385,492,25.349283,50,0.1015192,0.10401,448.40497,452.5,0.83656096,0.053855535
8721999,4194421,4242755.5,491.73276,492.011,25.35038,50,0.1015874,0.1040133,448.405,452.5,0.8365614,0.05385514
8722800,4215911.5,4265844,491.76944,492.1,25.355312,50,0.102139235,0.10404,448.4066,452.5,0.83657527,0.05384124
8722800,4215911.5,4265844,491.76944,492.1,25.355312,50,0.102139235,0.10404,448.4066,452.5,0.83657527,0.05384124
8722861,4215076,4264940.5,491.76642,492.1,25.355423,50,0.10211759,0.10403592,448.40665,452.4932,0.83657634,0.053840164
8723700,4203567.5,4252558,491.76984,492.1,25.360144,50,0.10182084,0.10398,448.4058,452.4,0.8365791,0.05383739
8723700,4203567.5,4252558,491.76984,492.1,25.360144,50,0.10182084,0.10398,448.4058,452.4,0.8365791,0.05383739
8723723,4203525.5,4252510.5,491.77023,492.0948,25.36036,50,0.101819746,0.1039813,448.4058,452.4,0.8365791,0.053837385
8724586,4201967.5,4250763,491.7737,491.9032,25.36834,50,0.10177962,0.1040292,448.40564,452.4,0.83657914,0.05383736
8724600,4201941.5,4250734,491.7737,491.9,25.368473,50,0.10177895,0.10403,448.40564,452.4,0.83657914,0.05383736
8724600,4201941.5,4250734,491.7737,491.9,25.368473,50,0.10177895,0.10403,448.40564,452.4,0.83657914,0.05383736
8725448,4225537.5,4276063.5,491.78296,491.9942,25.37192,50,0.1023867,0.10403942,448.40735,452.3058,0.83657914,0.05383736
8725500,4226990.5,4277623,491.78296,492,25.371843,50,0.10242412,0.10404,448.40747,452.3,0.83657914,0.05383736
